acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alsa-lib 1.2.7.2-1
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.2-1
alsa-utils 1.2.7-1
aom 3.4.0-1
arandr 0.1.10-7
archlinux-keyring 20220831-1
argon2 20190702-4
aseprite 1.2.35-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atkmm 2.28.3-1
atool 0.39.0-8
attr 2.5.1-2
audit 3.0.8-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
awesome-terminal-fonts 1.1.0-4
ayatana-ido 0.9.2-1
babl 0.1.96-1
base 3-1
bash 5.1.016-1
bat 0.21.0-3
bc 1.07.1-4
binutils 2.39-3
bison 3.8.2-4
blas 3.10.1-1
bluez 5.65-3
bluez-libs 5.65-3
bluez-utils 5.65-3
boost-libs 1.79.0-1
bottom 0.6.8-1
brave-bin 1:1.40.113-1
breeze-icons 5.97.0-1
bridge-utils 1.7.1-1
brotli 1.0.9-8
btrfs-progs 5.19-1
bubblewrap 0.6.2-1
buku 4.7-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.82-1
ca-certificates-utils 20210603-1
cadence 0.9.2-1
cairo 1.17.6-2
cairomm 1.14.3-2
calf 0.90.3-5
campdown 1.49-1
cantarell-fonts 1:0.303.1-1
cardinal-data 22.07-1
cardinal-vst3 22.07-1
cava 0.8.2-4
cblas 3.10.1-1
cdparanoia 10.2-8
chrpath 0.16-3
clang 14.0.6-2
cmake 3.24.1-1
cmark 0.30.2-1
cmatrix 2.0-2
cmus 2.10.0-2
code 1.71.0-1
compiler-rt 14.0.6-1
confuse 3.3-3
containerd 1.6.8-1
coreutils 9.1-1
cryptsetup 2.5.0-1
cups 1:2.4.2-3
cups-filters 1.28.16-1
curl 7.85.0-1
cython 0.29.32-2
dav1d 1.0.0-1
db 5.3.28-5
dbus 1.14.0-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
desktop-file-utils 0.26-2
device-mapper 2.03.16-2
diffutils 3.8-1
digimend-drivers-git-dkms 11.r0.gae07a3d-1
djvulibre 3.5.28-3
dkms 3.0.6-1
dmenu 5.1-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
docker 1:20.10.17-1
docker-compose 2.10.2-1
dosfstools 4.2-2
dotnet-host 6.0.8.sdk108-1
dotnet-runtime 6.0.8.sdk108-1
double-conversion 3.2.1-1
duktape 2.7.0-4
dunst 1.9.0-1
e2fsprogs 1.46.5-4
electron17 17.4.11-1
electron18 18.3.9-1
electron19 19.0.13-1
enchant 2.3.3-1
exempi 2.6.2-1
exiv2 0.27.5-3
expat 2.4.8-1
fakeroot 1.29-1
fceux 2.6.4-2
feh 3.9.1-2
ffmpeg 2:5.1.1-1
ffmpeg4.4 4.4.2-3
ffmpegthumbnailer 2.2.2-4
fftw 3.3.10-3
file 5.42-2
filesystem 2021.12.07-1
